request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,IDR 100845250 available; protect 24768300 minimum. Pay IDR 15656000 via full payment; finish 2025-08-03. Forecast low 59198088.96 through 2025-11-01. Evidence: message_18. Next supported income: 30780000 on 2025-08-15.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,ZAR 93141.80 available; protect 20500 minimum. Pay ZAR 6670 via full payment; finish 2026-07-05. Forecast low 30494.18 through 2026-10-03. Evidence: message_19.
request_28,327.58,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,EUR 1789.40 available; protect 1100 minimum. Pay EUR 1302.40 via wait; finish 2024-08-15. Forecast low 1427.58 through 2024-09-05. Evidence: message_20. Next supported income: 1452 on 2024-06-15.
request_29,1855.43,not_affordable,not_recommended,none,,none,ZAR 113540.10 available; protect 28300 minimum. Safe today: 1855.43. No accepted plan completes the request by 2025-11-23 while preserving the minimum for 90 days. Evidence: message_21.
request_30,282.04,not_affordable,not_recommended,none,,none,USD 3752.72 available; protect 900 minimum. Safe today: 282.04. No accepted plan completes the request by 2026-06-06 while preserving the minimum for 90 days.
request_31,2700039.54,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,IDR 30429260 available; protect 16588900 minimum. Pay IDR 18164000 via wait; finish 2024-11-15. Forecast low 19288939.54 through 2024-12-02. Next supported income: 19972800 on 2024-09-15.
request_32,13339.36,affordable_with_plan,wait,2025-04-15:40018,,reduce_to:event_2929:1181.40,ZAR 69005.80 available; protect 35700 minimum. Pay ZAR 40018 via wait; finish 2025-04-15. Forecast low 39803.04 through 2025-05-06. Apply reduce_to:event_2929:1181.40. Evidence: message_22. Next supported income: 54120 on 2025-02-15.
request_33,36397.14,affordable_later,wait,2026-02-15:118000,2026-02-15,none,INR 167280 available; protect 102100 minimum. Pay INR 118000 via wait; finish 2026-02-15. Forecast low 108087.06 through 2026-04-07. Next supported income: 150000 on 2026-01-15.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,INR 559752.50 available; protect 138500 minimum. Pay INR 129400 via full payment; finish 2024-12-04. Forecast low 278004.61 through 2025-03-04. Evidence: message_24. Next supported income: 196000 on 2024-12-15.
request_35,23153.93,affordable_later,wait,2026-01-15:212000,2026-01-15,none,INR 231530 available; protect 106400 minimum. Pay INR 212000 via wait; finish 2026-01-15. Forecast low 129553.93 through 2026-01-28. Evidence: message_25. Next supported income: 162000 on 2025-11-15.
request_36,588.71,affordable_later,wait,2026-09-15:3954,2026-09-15,none,USD 3846.60 available; protect 2400 minimum. Pay USD 3954 via wait; finish 2026-09-15. Forecast low 2988.71 through 2026-10-01. Evidence: message_26. Next supported income: 2988 on 2026-07-15.
request_37,5242537.59,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,IDR 29125000 available; protect 17056200 minimum. Pay IDR 14649000 via wait; finish 2024-05-15. Forecast low 21227859.67 through 2024-06-03. Evidence: message_27. Next supported income: 21090000 on 2024-03-15.
request_38,171.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,EUR 779.40 available; protect 400 minimum. Pay EUR 971.30 via wait; finish 2025-10-15. Forecast low 571.65 through 2025-11-05. Evidence: message_28. Next supported income: 737 on 2025-08-15.
request_39,66865.66,affordable_later,wait,2026-05-15:208600,2026-05-15,none,INR 416505 available; protect 213400 minimum. Pay INR 208600 via wait; finish 2026-05-15. Forecast low 213795.06 through 2026-07-03. Next supported income: 253989.84 on 2026-04-15.
